signal,seg,h,n,ep,mean,med,hit,base_mean,base_hit,edge,p_shift,mae
comm_short|z4>=2.0,ALL,4,12,5.0,0.03635413122894057,0.00740980095757604,0.6666666666666666,0.01262554843983999,0.5970149253731343,0.02372858278910058,0.1156,-0.000539788972893529
comm_short|z4>=2.0,ALL,8,12,5.0,0.024806284870932633,-0.006091615526486571,0.4166666666666667,0.026672622775896472,0.6102719033232629,-0.0018663379049638391,0.4852,-0.00723766364476458
comm_short|z4>=2.0,ALL,13,12,5.0,0.032801978470837746,0.0125490921391187,0.5,0.045571562169968736,0.6779141104294478,-0.01276958369913099,0.582,-0.018811196266471413
comm_short|z4>=2.0,ALL,26,12,5.0,0.05022739738799189,-0.013530677227780175,0.5,0.09718082370740687,0.7635782747603834,-0.04695342631941498,0.7116,-0.03518115252532295
comm_short|z4>=2.0,2023+,4,8,3.0,0.0685706848084312,0.06718551303932274,1.0,0.01849698735368388,0.6424581005586593,0.050073697454747323,0.0288,0.016084796696995654
comm_short|z4>=2.0,2023+,8,8,3.0,0.054808025806548116,0.06701133698712969,0.625,0.04127644240856628,0.68,0.013531583397981835,0.2346,0.009997314673733923
comm_short|z4>=2.0,2023+,13,8,3.0,0.060746807406017164,0.05699942309297634,0.625,0.07129724925888474,0.8058823529411765,-0.010550441852867576,0.3992,0.0024681755627439655
comm_short|z4>=2.0,2023+,26,8,3.0,0.11207787333296014,0.18806578566397603,0.625,0.16260157757521554,0.9235668789808917,-0.0505237042422554,0.4414,-0.008895525727164663
comm_short|z4>=2.0,2020-22,4,4,2.0,-0.02807897593004069,-0.02451516841258644,0.0,0.00588844866049347,0.5448717948717948,-0.03396742459053416,0.8964,-0.033788960312671895
comm_short|z4>=2.0,2020-22,8,4,2.0,-0.03519719700029833,-0.03686192194099963,0.0,0.010290132803350205,0.532051282051282,-0.04548732980364854,0.912,-0.04170762028176159
comm_short|z4>=2.0,2020-22,13,4,2.0,-0.023087679399521083,-0.030064211817146247,0.25,0.0175371595730731,0.5384615384615384,-0.04062483897259418,0.8716,-0.06136993992490217
comm_short|z4>=2.0,2020-22,26,4,2.0,-0.07347355450194462,-0.07935781308685319,0.25,0.03134070603275328,0.6025641025641025,-0.1048142605346979,0.9781308025582834,-0.08775240612163954
comm_short|z4>=1.5,ALL,4,26,11.0,0.017846094158451255,0.00740980095757604,0.6538461538461539,0.01262554843983999,0.5970149253731343,0.005220545718611266,0.281,-0.008182740215779308
comm_short|z4>=1.5,ALL,8,26,11.0,0.01983701305693726,-0.006091615526486571,0.46153846153846156,0.026672622775896472,0.6102719033232629,-0.006835609718959211,0.5868,-0.01691994238277749
comm_short|z4>=1.5,ALL,13,26,11.0,0.03309203171767881,0.0009715125603203534,0.5,0.045571562169968736,0.6779141104294478,-0.012479530452289923,0.6754,-0.02314765908518292
comm_short|z4>=1.5,ALL,26,26,11.0,0.0676994192768248,0.01498657332586295,0.5769230769230769,0.09718082370740687,0.7635782747603834,-0.029481404430582073,0.7768,-0.036058740530727544
comm_short|z4>=1.5,2023+,4,14,6.0,0.04967506367348316,0.0367245725908254,0.9285714285714286,0.01849698735368388,0.6424581005586593,0.031178076319799276,0.0284,0.00854969236023587
comm_short|z4>=1.5,2023+,8,14,6.0,0.05567667981740136,0.06728509347915368,0.7142857142857143,0.04127644240856628,0.68,0.01440023740883508,0.1574,0.003783975817490689
comm_short|z4>=1.5,2023+,13,14,6.0,0.0792076295391909,0.058145735778549645,0.7142857142857143,0.07129724925888474,0.8058823529411765,0.007910380280306162,0.2054,-0.0017937850500920893
comm_short|z4>=1.5,2023+,26,14,6.0,0.1495795959531662,0.18806578566397603,0.7142857142857143,0.16260157757521554,0.9235668789808917,-0.013021981622049345,0.2812,-0.01110574280617078
comm_short|z4>=1.5,2020-22,4,12,5.0,-0.019287703609085955,-0.02136507768006407,0.3333333333333333,0.00588844866049347,0.5448717948717948,-0.025176152269579425,0.955,-0.027703911554463685
comm_short|z4>=1.5,2020-22,8,12,5.0,-0.021975931496937523,-0.03686192194099963,0.16666666666666666,0.010290132803350205,0.532051282051282,-0.03226606430028773,0.9586,-0.0410745136164237
comm_short|z4>=1.5,2020-22,13,12,5.0,-0.020709499074085296,-0.03395434271006975,0.25,0.0175371595730731,0.5384615384615384,-0.0382466586471584,0.9388,-0.04806051212612222
